"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pampa  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"5.1. Rio, Lago e Oceano";0.0;0.0;0.0005910008346760149;0.0014552185238296345;0.0003260649037468283;0.0;0.018879479039782453;0.02125176330203493;0.02125176330203493;-0.001879918934624567;0.8883723562822985;0.11794854906704372;0.11162764371770151;0.0018799189346245665
"total";0.07079450005574763;0.00981206042135643;0.009368157147590083;0.6771337497742843;0.20770461136957807;0.005815076864032706;0.019371844367410365;1.0;1.0;0;0.8218674052410819;0.030722107814184163;0.17813259475891807;0.11193788897941837
"adj population";0.07079450005574764;0.009812060421356428;0.009368157147590083;0.6771337497742846;0.20770461136957813;0.005815076864032707;0.019371844367410365;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.130414681745665e-15;2.5888683111226233e-15;2.5888683111226233e-15;5.865242773335935e-16;6.619984554270801e-16;3.650470709352119e-15;2.0917301862431077e-15;1.3298874932346812e-14;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.888444130797597;0.34741390730210947;0.5297826493237208;0.801827609320498;0.8851808395965384;0.8457939309294251;0.9745834563663835;0.8218674052410821;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06461137393102973;0.10044291709313587;0.10554321827671258;0.016809678366193938;0.043060803662365026;0.133836283812256;0.12912766068726964;0.03015446459993613;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9353886260689703;0.8995570829068641;0.8944567817232875;0.983190321633806;0.956939196337635;0.866163716187744;0.8708723393127303;0.17813259475891785;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.015795083976936963;0.0030149023783605233;0.008810140069317714;0.056087616300362964;0.047696938178764525;0.0;0.000984730655255825;0.06619470577949926;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.06247230449965692;0.005769633826342695;0.0;0.015064047091027216;0.0023269730379666905;0.0;0.0;0.08563295845499352;0.08563295845499352;-0.014908127093676195;0.7295357491647418;0.051128770270218;0.27046425083525816;0.014908127093676185
"1.2. Floresta Plantada";0.000956524485448125;0.0039549348371094835;0.0;0.0;0.0;0.0;0.0;0.004911459322557608;0.004911459322557608;0.006613243976753126;0.8052463794100975;0.24808827652845458;0.19475362058990253;0.006613243976753123
"2.1. Área Úmida Natural não Florestal";0.00021569723989857775;0.0;0.005548622183236334;0.005039597180694628;0.0002916837181348148;0.0;0.0;0.011095600321964353;0.011095600321964353;-0.001736662354920452;0.5000740854239792;0.10355297394710486;0.49992591457602076;0.0017366623549204506
"2.2. Formação Campestre (Campo)";0.00536553483053543;0.0012058407533101017;0.002298031827486109;0.5256135552923293;0.02206400185458341;0.0008958376844437347;0.0;0.5574428022426883;0.5574428022426883;0.11029253716313903;0.9429013222122447;0.022629382175625518;0.05709867778775535;0.11029253716313903
"3.2.1. Lavoura Temporária";0.0017147703057782758;0.0005942938825484517;0.0015122839563214605;0.12028119183883633;0.19097753128002107;0.0;0.0;0.31508007126350557;0.31508007126350557;-0.09909413734872734;0.6061238037498861;0.02685955955529017;0.39387619625011394;0.09909413734872738
