"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Amazônia  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"adj population";0.8958804368182658;0.011402758135797737;0.00017712280607961383;0.0281401285031443;0.04747025554301528;0.0002891344424102613;0.0005392381370930856;0.0161009256141941;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";5.992774747019095e-18;1.7395208448061787e-17;1.065114766760899e-16;1.0766828810921826e-17;8.295374343123953e-18;9.634712694266903e-17;8.251338183345646e-17;1.6163461160882328e-17;3.4398563296222436e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9935617226353894;0.09631600005719287;0.08918815007943867;0.9707184945361167;0.7536011332151813;0.6975860176394835;0.8346474289566669;0.9205467051548321;0.9697897808301099;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0020147514154992873;0.00693948169340493;0.0649559681761669;0.031924110902081505;0.018067512495609703;0.13325851479365322;0.07541311252436493;0.033608991268384916;0.0042719599322785465;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9979852485845007;0.993060518306595;0.9350440318238331;0.9680758890979185;0.9819324875043903;0.8667414852063468;0.9245868874756351;0.9663910087316151;0.030210219169890085;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.011535853475528546;0.0032088724209638807;0.00013592120423747866;0.0016479706530383997;0.008594204998357946;0.00017487659633374906;3.6032178275364926e-05;0.00029177891455701294;0.012812755220646187;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.886541861658837;0.0003588170705875349;0.00012726586764100605;2.109541251618795e-05;0.008630402886158994;3.370843433498016e-05;1.515973384643523e-05;0.0008740517599355314;0.8966023628238576;0.8966023628238576;-0.002745032772425506;0.9887793055403787;0.002015314554022541;0.011220694459621261;0.0027450327724255486
"1.1.2. Formação Savânica";0.0006349251555644896;0.001155157831514888;0.0;0.0;0.0007100596789485193;0.0;0.0;0.0;0.002500142666027897;0.002500142666027897;-0.0009749804538335238;0.4620367658259061;0.03746816050496777;0.5379632341740939;0.0009749804538335234
"1.2. Floresta Plantada";3.130965559379817e-05;0.0;1.5654827796899085e-05;0.0;2.038338783467631e-05;0.0;0.0;0.0;6.734787122537356e-05;6.734787122537356e-05;0.0001284280921001947;0.2324472550069418;0.1752149607202263;0.7675527449930581;0.0001284280921001946
"2.2. Formação Campestre (Campo)";0.001563931038245658;1.118731009195046e-05;3.09137935884819e-05;0.035343080240162576;0.0016569512721444138;2.1962279541352547e-05;0.0;0.0006424612906504976;0.03927048722442494;0.03927048722442494;-0.003856803124091044;0.8999908770721943;0.024329008276539745;0.10000912292780573;0.003856803124091049
"3.1. Pastagem";0.004701430641251044;0.0;2.1941474299181143e-05;4.95084476551223e-05;0.040851212812196044;5.516646100018724e-05;7.32007746712539e-05;0.00011636302467412565;0.04586882363574696;0.04586882363574696;0.006180272215679899;0.8906095594821288;0.020892632434070225;0.10939044051787117;0.006180272215679898
"3.2.1. Lavoura Temporária";0.0;0.0;0.0;0.0;9.793841625597824e-05;0.00019987765743194333;0.0;0.0;0.00029781607368792155;0.00029781607368792155;1.2898758620541735e-05;0.6711446261338906;0.12523711815221183;0.3288553738661094;1.2898758620541722e-05
"4.1. Infraestrutura Urbana";1.0316983278645516e-05;0.0;0.0;0.0;3.014669320727172e-05;0.0;0.0004460158725700471;0.0;0.0004864795490559643;0.0004864795490559643;4.789683203177189e-05;0.9168234788812009;0.08912481376093329;0.08317652111879914;4.789683203177195e-05
"5.1. Rio, Lago e Oceano";0.0003735549186615333;0.0;0.0;0.0;5.200070468095547e-05;0.0;0.0;0.014480984532656558;0.014906540155999046;0.014906540155999046;0.001207320451917666;0.9714517507826101;0.035944186463384487;0.028548249217389854;0.0012073204519176643
"total";0.8938573300514321;0.0015251622121943734;0.00019577596332556816;0.03541368410033389;0.052049095851426856;0.0003107148323084633;0.0005343763810877363;0.01611386060791671;1.0;1.0;0;0.9790338454331656;0.004442602858296308;0.020966154566834372;0.007576816350350096
