"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"alloc dis";0.08549662621053722;0.17862624364351676;0.0014404785471407236;0.09382621866075941;0.09178263674663578;0.01920919902607862;0.000101687940639166;0.0004924513646816786;0.2354877710699947;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.13695731054284055;0.029253102418564013;0.002423838303433664;0.0004193901867507254;0.008962058723850029;0.00019674667612779923;1.0300522345841658e-05;0.00029524576914474146;0.17851799314305736;0.17851799314305736;0.016261835809970024;0.7671905119003233;0.01275425166658661;0.23280948809967672;0.016261835809969954
"1.1.2. Formação Savânica";0.05253544537913667;0.25255723751104536;0.0014986670177689963;0.03343639111019484;0.04430642988012502;0.0008409787496087653;0.00024238576983119737;0.000500298583683742;0.3859178340013946;0.3859178340013946;-0.050629968360841826;0.6544326674214614;0.00864411905028201;0.34556733257853856;0.05062996836084177
"1.2. Floresta Plantada";0.00036958948593966077;0.00017585481012416046;0.005591650348744966;0.0;0.00015000078648484474;0.0;0.0;0.0;0.006287095431293632;0.006287095431293632;0.004394599839853893;0.8893853147055584;0.05317863924705784;0.11061468529444163;0.004394599839853892
"2.2. Formação Campestre (Campo)";0.00020720703919824472;0.036284169310070384;0.00024372239419242326;0.049773823877491394;0.01469655472848822;0.0007738532083871514;4.5991050290628474e-05;0.0003522477658291115;0.10237756937394754;0.10237756937394754;-0.0067374537963948225;0.4861789958666238;0.012317421738428121;0.5138210041333762;0.0067374537963948294
"3.1. Pastagem";0.004455425091094783;0.016354639819876934;0.0008703701665023105;0.010551214179196102;0.2390870136670714;0.009198751560848362;0.001205202323758236;0.0;0.28172261680834815;0.28172261680834815;0.03377443749150928;0.848661056665247;0.011909302281005237;0.15133894333475295;0.033774437491509324
"3.2.1. Lavoura Temporária";0.00011154182774168124;0.0006374571403036991;5.344704050516521e-05;0.0013819663122577805;0.008108217011718592;0.02764246332675678;6.223785924844568e-05;0.0;0.037997330518532144;0.037997330518532144;0.0006554630031967122;0.7274843508618305;0.02385153078884268;0.2725156491381695;0.0006554630031967087
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;5.080648082200565e-05;0.0;0.0013588770309056748;0.0;0.0014096835117276805;0.0014096835117276805;0.0015153110446523433;0.9639589451112057;0.055292237996836226;0.03604105488879428;0.0015153110446523433
"5.1. Rio, Lago e Oceano";0.00014330958707571708;2.540463056827982e-05;0.0;7.732991166186906e-05;0.00013597302129734118;0.0;0.0;0.00538786006109733;0.005769877211700537;0.005769877211700537;0.000765774968054388;0.9337911126031367;0.04988653200927703;0.06620888739686326;0.0007657749680543878
"total";0.1947798289530273;0.33528786564055285;0.010681695271147524;0.09564011557755271;0.31549705429985747;0.03865279352172885;0.002924994556380024;0.006535652179754925;1.0;1.0;0;0.7183562363659535;0.011835348012847031;0.28164376363404653;0.05736742215723661
"adj population";0.19477982895302756;0.33528786564055296;0.010681695271147526;0.09564011557755273;0.31549705429985553;0.038652793521728866;0.002924994556380024;0.0065356521797549205;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.838169408688603e-17;2.3465920975151136e-17;1.0637231848757782e-16;3.6621713591748854e-17;2.4002778906081542e-17;5.844365469823637e-17;2.0872967002545016e-16;1.4638513490377224e-16;6.324028856749042e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.7031390841598331;0.7532549292487692;0.5234796731047597;0.5204283116652112;0.7578106052294101;0.715147879576089;0.4645742085029459;0.8243798649179895;0.7183562363659532;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.011718132822281624;0.010115570978823726;0.02886178096278109;0.013329155669391475;0.010484671090335046;0.023050349256239326;0.02608963844792251;0.042845621631094;0.01181235821355007;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9882818671777184;0.9898844290211762;0.9711382190372189;0.9866708443306085;0.989515328909665;0.9769496507437607;0.9739103615520774;0.957154378368906;0.28164376363404675;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.08312136520043362;0.16546125625901498;0.0013908901650973322;0.09173258340012264;0.08527120628255347;0.020709734383550726;0.00010161296164401144;0.0007640343012064142;0.22427634147681158;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.13277884896794487;0.027962006252056304;0.0023714080818372707;0.0004180200380582142;0.009440214001216937;0.00020422919312920157;3.209316482804041e-05;0.00035776236580124104;0.1735645820648721;0.1735645820648721;0.016219712819177855;0.7650111986460293;0.012824762609126896;0.2349888013539707;0.01621971281917775
