"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para BRASIL  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"5.1. Rio, Lago e Oceano";0.00025912089224848235;1.0401810271578394e-05;0.0;0.0002862807753879886;9.76371061429454e-05;0.0003117145928124018;2.8205845620005607e-05;7.992805264008832e-06;0.0;0.0;0.012223367107361762;0.0;0.013224720935109173;0.013224720935109173;0.00018930632480154003;0.9242816666861375;0.020547968950758208;0.07571833331386246;0.00018930632480154003
"3.2.2. Lavoura Perene";0.0;8.174981238028662e-06;0.0;0.0;0.0;0.0;4.231987857768134e-05;0.0;0.0;0.0;0.0;1.3798146950853417e-05;6.429300676656343e-05;6.429300676656343e-05;0.0011690386542325098;0.21461349600512633;0.03365949890986323;0.7853865039948736;0.00116903865423251
"total";0.5565590654923828;0.1475977282328439;0.004393395801012321;0.003922458522625523;0.06570358150654132;0.007378185926112774;0.15682066494303828;0.02208353369088181;0.01761102710377007;0.0032829998598866085;0.013414027259910713;0.0012333316609990735;0.9999999999999998;0.9999999999999998;0;0.8706373665744188;0.005846008383625782;0.12936263342558119;0.02898793236947481
"adj population";0.5565590654923764;0.1475977282328449;0.004393395801012319;0.0039224585226255194;0.06570358150654154;0.007378185926112771;0.1568206649430382;0.022083533690881736;0.017611027103770053;0.003282999859886609;0.013414027259910722;0.0012333316609990732;0.9999999999999998;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.8229990998053447e-18;2.3072682719815638e-18;1.1468509486319341e-17;1.1177285257478514e-17;3.3241741004551862e-18;9.978342651625174e-18;2.2464174123554e-18;5.258862254055299e-18;5.6105894630899614e-18;1.385744420260478e-17;8.183978034583165e-18;1.8298761613974974e-17;9.35346318483287e-17;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9604039059280143;0.7659299479365347;0.5300653855555179;0.7190590202437157;0.7246618335715717;0.016192794706759613;0.7663009294681834;0.8187691112309861;1.0;0.6346023603566945;0.9112376820563524;0.011187701886835601;0.8706373665744186;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0031834317941290807;0.00683226296901775;0.015703485164799642;0.03158457982204166;0.010642591914175017;0.001388703459203985;0.007267467708927575;0.016732397026601353;0.019082671260146893;0.016711903176908273;0.02006555498401187;0.0012288573520841128;0.00585338334381373;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.996816568205871;0.9931677370309823;0.9842965148352003;0.9684154201779583;0.989357408085825;0.9986112965407961;0.9927325322910724;0.9832676029733987;0.9809173287398532;0.9832880968230917;0.9799344450159881;0.9987711426479159;0.1293626334255814;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.04407513022770493;0.06909641586382254;0.000982114757174181;0.001263445989209835;0.036181407319583914;0.00013872369550206088;0.038747119245204964;0.008004436875917932;0.0;0.00015691076297739363;0.002002707655494821;0.00010098971963142002;0.10037470105611199;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
