"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"3.1. Pastagem";0.000257697298485084;0.016155716034065234;0.004263332561103503;0.14747585690257817;0.00025645226547173303;0.0;0.0;0.0;0.0008563928100017881;0.16926544787170553;0.16926544787170553;0.05272694892659344;0.8712697054058972;0.023033880792632036;0.1287302945941028;0.0527269489265933
"3.2.1. Lavoura Temporária";0.0;0.0001499255989170877;0.0;0.008722806106999272;0.00010780559517090909;0.0;0.0;0.0;0.0006102112201856059;0.009590748521272875;0.009590748521272875;-0.008948961511850328;0.011240581997514543;0.0019653248452428346;0.9887594180024855;0.008948961511850331
"3.3 Mosaico de Agricultura ou Pastagem";0.00018673648355601439;0.03402812919006005;0.016224668828955187;0.0;0.0;0.05814191481218351;0.00036236223435223485;0.00042640823853626873;0.0;0.10937021978764326;0.10937021978764326;-0.05122830497545978;0.5316064548930565;0.017260488220855567;0.46839354510694353;0.05122830497545975
"4.1. Infraestrutura Urbana";6.071998437779124e-05;0.0;0.0;0.00013964319960794536;0.0;0.0;0.0014835032440695555;0.0;0.0;0.0016838664280552922;0.0016838664280552922;0.00031946729582129165;0.8810100488688183;0.05496353763482473;0.11898995113118171;0.00031946729582129187
"5.1. Rio, Lago e Oceano";0.0;4.8693211045020154e-05;0.00014548152334590295;0.0;0.0;0.0;0.0;0.009144476514280738;0.0;0.009338651248671661;0.009338651248671661;0.002022998544761066;0.979207411303796;0.05981061248505109;0.02079258869620404;0.002022998544761066
"3.2.2. Lavoura Perene";0.0;7.931403925361604e-05;0.0;0.00037350154014989805;0.0;0.0;0.0;0.0;0.0001338702483861668;0.0005866858277896809;0.0005866858277896809;0.0029242165526041936;0.22818047078198303;0.04257209491342896;0.771819529218017;0.002924216552604194
"total";0.019988644893771158;0.6450592501372132;0.03730012045140908;0.22199239679829882;0.000641787009422544;0.05814191481218351;0.002003333723876584;0.011361649793432727;0.003510902380393875;1.0;1.0;0;0.7619374226849318;0.013551616626974393;0.2380625773150682;0.09126749516227269
"adj population";0.019988644893771147;0.6450592501372121;0.037300120451409104;0.22199239679829855;0.000641787009422544;0.05814191481218342;0.0020033337238765836;0.011361649793432725;0.0035109023803938746;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.1592319173369587e-16;6.799064014211962e-17;1.5158857352076624e-16;7.902346842597753e-17;1.1771638120683175e-15;1.3513173138767918e-16;6.801728931258792e-16;3.1947757238367226e-16;4.759210424187079e-16;3.3023929252068155e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.34797160799425764;0.8256054145117622;0.15898353133995305;0.6643284140788559;0.16797721609838837;1.0;0.7405172819628265;0.8048546364777445;0.03812986915664354;0.7619374226849316;NaN;NaN;NaN;NaN;NaN;NaN
